branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,60000,2,20,16,23323525.278143533,55386.28516666667,821.6618166666667
randforest,1,80000,1,20,64,0.0,102650.78565833333,16295.087316666666
quickscore,1,20000,1,70,32,8154874.024909792,18463.79704166667,1077.135575
quickscore,1,130000,1,100,8,525.5001880416667,2.764975,7387.576358333334
quickscore,1,30000,3,90,32,11540975.423755359,27694.385875,1120.1806583333334
quickscore,1,90000,1,70,8,-2448227.2133148336,77436.24908333333,1006.959225
randforest,1,20000,2,20,64,0.0,77020.32699166666,37551.40591666667
quickscore,1,50000,1,40,16,19863746.225360375,46155.94548333334,853.8276166666667
quickscore,1,10000,1,60,8,518.7431212833334,2.7572333333333336,5306.718775
quickscore,1,10000,1,30,8,3765188.490951025,9233.609033333334,1254.0685666666666
quickscore,1,60000,1,100,8,23465216.45416269,55386.80109166667,951.689825
quickscore,1,80000,1,30,32,31323660.733898073,73847.72396666667,748.7140333333333
quickscore,1,50000,2,30,32,19862542.165134482,46155.94690833333,870.3136
quickscore,1,60000,3,90,16,23321591.620063867,55386.392133333335,934.0786916666667
quickscore,1,30000,3,20,32,11541947.084414441,27692.731875,878.026825
quickscore,1,90000,2,40,8,35380300.52010275,83077.72998333334,709.2344416666666
quickscore,1,40000,3,30,8,15637126.978688434,36412.107541666664,852.3800916666667
quickscore,1,110000,3,70,16,7153870.010453491,101541.02120833333,693.1406666666667
randforest,1,90000,1,20,8,0.0,91130.66815,18962.922591666666
quickscore,1,90000,2,50,32,35348528.99465673,83078.14690833334,765.5450916666666
quickscore,1,100000,2,20,32,4269357.883622975,92304.02379166667,663.9819083333333
quickscore,1,30000,3,90,16,11542750.678390758,27694.40830833333,1025.1945333333333
quickscore,1,10000,2,70,16,3717160.25944775,9233.1689,1853.8952833333333
randforest,1,50000,1,10,16,0.0,59803.315141666666,31781.9845
randforest,1,40000,2,20,16,0.0,66449.68458333334,37997.8224
quickscore,1,100000,3,90,16,3971475.9583820924,92309.20425833334,739.4209583333334
quickscore,1,100000,1,30,32,3972088.4140894916,92308.47078333334,685.6299083333333
quickscore,1,80000,3,100,16,31322758.402047615,73847.71101666667,865.2152083333333
randforest,1,60000,1,10,64,0.0,68419.78883333334,29869.320058333335
quickscore,1,120000,3,10,16,11574172.461872159,110719.14143333334,581.6085083333334
quickscore,1,130000,1,10,16,15196511.998081392,119435.64245,565.2149416666666
quickscore,1,140000,3,90,16,16707096.485256601,120634.06210833334,668.5568666666667
quickscore,1,50000,3,20,8,19857893.904294517,46149.23201666667,820.0073083333333
quickscore,1,130000,3,70,16,15075467.925745443,118677.33623333334,638.3541916666667
quickscore,1,60000,1,40,16,23319504.605000027,55386.484033333334,838.6214666666667
randforest,1,140000,3,10,64,0.0,97938.66289166667,13510.454099999999
quickscore,1,100000,3,30,16,3967087.9411867913,92308.62013333333,673.9571833333333
quickscore,1,140000,3,90,32,16614008.460462527,120225.54908333333,699.9991583333333
quickscore,1,20000,1,40,32,8155145.921823767,18463.807533333333,1024.774075
quickscore,1,120000,1,20,16,11572212.12193106,110722.27255833334,594.97505
randforest,1,100000,1,20,8,0.0,95778.28424166667,17509.859791666666
quickscore,1,100000,3,20,16,3966251.3903860664,92298.22113333334,644.7652916666667
quickscore,1,90000,3,40,32,35345240.84240198,83078.1792,718.2503833333333
quickscore,1,30000,1,70,16,11539831.838720275,27694.47405,976.0426083333333
randforest,1,30000,3,20,64,0.0,73332.38504166667,39031.57263333334
quickscore,1,10000,1,10,8,517.9521507416666,2.8809083333333336,5691.984708333333
quickscore,1,60000,3,10,16,23320755.893289108,55386.46544166667,812.3464166666666
randforest,1,100000,2,10,32,0.0,73206.20338333333,17315.817825
quickscore,1,50000,3,60,8,19692889.221400432,46155.733,867.2743916666667
quickscore,1,80000,3,30,8,529.2073279583333,2.706691666666667,6978.609008333333
quickscore,1,140000,2,50,32,16576277.094970707,120684.56826666667,636.30195
quickscore,1,30000,2,10,32,11539833.451447126,27694.075808333335,875.9669083333333
quickscore,1,110000,1,60,16,7152319.101784674,101540.99655,670.2983166666667
quickscore,1,40000,2,30,32,15738802.768415617,36925.261425,867.50065
quickscore,1,150000,3,80,32,17502251.90229978,120557.8424,652.14785
quickscore,1,90000,1,10,8,-554522.604483442,81718.5539,707.2048416666667
quickscore,1,110000,3,100,16,7146358.20019159,101501.932075,736.5765583333333
quickscore,1,110000,2,50,16,7151239.153712068,101540.37274166667,669.1873083333334
quickscore,1,130000,2,10,16,15187387.371775059,119430.294725,558.9058166666666
quickscore,1,90000,2,100,16,35355869.86875457,83078.45046666666,799.9010583333334
quickscore,1,120000,2,40,8,11616669.240074424,110722.64341666667,632.9345666666667
quickscore,1,100000,1,90,32,3968055.8641318646,92310.68853333333,777.3685916666667
quickscore,1,120000,1,30,8,523.2684161916667,2.8146500000000003,6704.423025
quickscore,1,20000,2,10,32,8154652.569392634,18463.334708333332,986.7003833333333
quickscore,1,80000,1,40,32,31315089.6822925,73847.55811666667,788.5188333333333
randforest,1,150000,2,20,16,0.0,98649.6745,12907.365308333334
quickscore,1,80000,1,50,16,31312963.80165181,73852.22920833333,776.520925
quickscore,1,60000,3,50,16,23321354.0969568,55386.657325,862.5459916666666
quickscore,1,40000,1,30,32,15739868.78275415,36924.9335,863.7529166666667
quickscore,1,80000,1,10,16,31319164.36006866,73847.40935833333,731.4014583333334
quickscore,1,150000,1,70,8,523.6529885166667,2.7982750000000003,6433.548516666667
quickscore,1,140000,3,40,32,16403991.907466583,120491.788925,605.15435
quickscore,1,50000,2,30,8,512.7478757083334,2.656591666666667,7860.512483333333
randforest,1,120000,3,10,64,0.0,81167.0325,17306.14806666667
randforest,1,10000,1,10,16,13167.544015541667,22.030708333333333,5957.0939
quickscore,1,20000,1,10,8,501.09281880833333,2.481866666666667,8428.624983333333
randforest,1,110000,1,20,16,0.0,81716.36061666667,16211.492458333334
quickscore,1,110000,1,10,8,7270237.14324334,101531.39458333333,643.3815416666666
quickscore,1,10000,2,80,8,493.222518275,2.273216666666667,7996.282641666667
quickscore,1,110000,3,100,32,7128381.403676966,101367.04165833333,781.6190166666667
quickscore,1,20000,1,20,16,8153358.782637483,18463.93373333333,927.2472666666666
quickscore,1,70000,2,90,16,27764625.4627513,64617.071125,901.9162333333334
quickscore,1,10000,2,10,16,3717517.5108736334,9233.536166666667,1188.284025
randforest,1,60000,1,10,32,0.0,64955.51705833333,29469.805125
quickscore,1,70000,1,80,32,27760716.706488017,64617.1914,901.4502083333333
quickscore,1,70000,1,10,32,27762053.59577851,64616.932875,788.1872083333334
quickscore,1,20000,1,90,8,490.1655347833333,2.4067166666666666,7546.491658333333
quickscore,1,140000,2,20,32,17144780.994259585,122623.61941666667,561.9730583333334
