branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,50000,10,16,19860343.78342208,46156.068158333335,795.3763694444444
quickscore,1,90000,30,16,35347636.74267203,83077.57632222222,712.4814250000001
randforest,1,140000,10,8,0.0,85654.90719722222,14145.080247222222
quickscore,1,40000,30,16,15753479.41842617,36925.159966666666,875.1557722222223
quickscore,1,110000,90,16,7149322.92162647,101520.65298333333,710.5968166666667
quickscore,1,110000,20,16,7154187.481817392,101538.44196666667,615.797461111111
quickscore,1,130000,20,32,15140750.377339328,119142.60347777778,588.5137027777778
randforest,1,40000,10,64,0.0,58260.35038611111,9291681.15183611
quickscore,1,20000,50,8,2732936.8515970195,6156.368280555555,5506.142291666666
randforest,1,50000,20,32,0.0,78261.64635555555,30937.68403888889
quickscore,1,30000,60,32,11542876.142708417,27694.58675,1015.1197194444444
quickscore,1,90000,50,16,35344545.97389094,83078.22974166667,737.3813805555556
quickscore,1,130000,60,32,15058486.952186652,118498.429,636.1674527777777
randforest,1,120000,20,8,0.0,81626.95695833334,17218.26922777778
quickscore,1,50000,50,8,7573824.346138331,18546.747152777778,4718.1054861111115
svm,1,140000,1,1,13935228.143199963,110399.33918888889,4084.7524694444446
quickscore,1,60000,20,16,23322654.687207885,55386.59644444445,801.7683722222223
randforest,1,20000,20,32,0.0,71256.85462777778,39407.19114444444
quickscore,1,30000,10,8,7659821.451236158,18203.160977777778,3394.3368111111113
quickscore,1,30000,70,32,11545802.505301278,27694.241908333333,1029.6587055555556
quickscore,1,40000,50,16,15739047.29132938,36925.116505555554,884.9078166666667
randforest,1,60000,20,8,0.0,67939.7718861111,28760.50949722222
quickscore,1,150000,90,32,17543826.248418797,120490.68505277777,685.2784916666667
quickscore,1,120000,50,8,6693348.844097461,71180.97614722223,2818.4603944444443
quickscore,1,140000,60,8,8314505.27932595,74594.96620833332,3109.837127777778
quickscore,1,70000,10,32,27761875.620251127,64617.29345,781.4910027777778
quickscore,1,110000,30,32,7153582.636797828,101539.77137777778,647.3739944444444
quickscore,1,40000,10,8,3130983.9360406166,7415.840630555555,6068.253663888889
randforest,1,70000,20,16,0.0,88077.29755833333,21016.66951111111
quickscore,1,20000,70,16,8155180.453905092,18463.84835,1054.8699722222223
quickscore,1,120000,100,8,3816372.8171105,36379.48921666667,4832.689466666667
quickscore,1,110000,10,8,2423763.451084533,33845.69409444444,5020.8888
svm,1,70000,1,1,28034121.718092386,63612.07991666667,4911.731458333334
quickscore,1,10000,30,32,3718598.940198225,9233.195977777777,1429.5075388888888
quickscore,1,70000,20,32,27762099.640551865,64617.29896666667,784.69415
quickscore,1,20000,40,8,5450137.560496131,12310.19573611111,3163.030580555556
randforest,1,40000,20,32,0.0,70644.88321388888,34916.91063888889
randforest,1,70000,10,8,0.0,72632.47076666667,22871.931725000002
quickscore,1,100000,70,32,4034292.8604956027,92304.32915277778,745.2017666666667
quickscore,1,50000,80,32,19863799.190273527,46155.861986111115,952.3584638888889
quickscore,1,130000,70,32,14884401.315358788,118259.80647352942,662.7666592436975
svm,2,60000,1,1,25275924.149109326,60002.64823333333,868.4985805555556
quickscore,1,60000,50,8,7794317.960811572,18464.09031388889,5080.415341666667
quickscore,1,60000,90,16,23321544.267111894,55386.58938055555,943.6156416666666
quickscore,1,40000,80,32,15738206.67974976,36925.05098611111,1008.5306083333334
quickscore,1,40000,50,8,10511585.35826328,24617.707894444444,3143.8923055555556
quickscore,1,150000,20,8,12098286.677941786,83067.62320555556,2366.6522472222223
quickscore,1,150000,80,32,17555319.967824314,120695.43746111111,658.8791277777777
quickscore,1,130000,90,8,4838292.235143043,39286.96555833333,5000.876333333334
randforest,1,150000,10,64,0.0,84420.54563055556,5715987.534983333
svm,2,80000,1,1,33909960.51284189,79999.76130555556,766.0337138888889
quickscore,1,140000,60,16,16858295.43636329,121477.31355277778,614.4880194444445
svm,1,30000,1,1,12157281.77244213,29034.375741666667,7316.4165416666665
randforest,1,80000,10,32,0.0,78444.97446666667,19616.058936111112
quickscore,1,110000,30,8,526.52665385,2.773241666666667,7231.9462277777775
quickscore,1,120000,100,32,11465638.089540144,109954.41451111111,741.95415
randforest,1,60000,20,64,0.0,85450.15815,24774.83983611111
svm,2,20000,1,1,8825982.469735835,20002.981689500943,983.493231826742
quickscore,1,110000,50,32,7148560.08688513,101540.69169166667,683.1921722222222
quickscore,1,150000,10,16,17968339.97316379,122725.2878638889,553.0358916666667
randforest,1,80000,10,64,0.0,80547.03586666667,12956842.73438611
quickscore,1,150000,50,16,17619821.45685546,121430.66082777777,600.7348916666666
quickscore,1,20000,60,8,499.95256358333336,2.5314305555555556,7575.954427777778
quickscore,1,150000,60,16,17594742.70555845,121204.13470833332,611.2137861111111
randforest,1,100000,20,8,0.0,84239.44038333333,17864.669333333335
randforest,1,50000,20,8,0.0,64130.34356111111,31384.901019444445
randforest,1,50000,20,16,0.0,67298.23303055555,31809.751722222223
quickscore,1,90000,30,32,35345085.39353239,83077.77305277777,722.9868444444444
quickscore,1,90000,90,16,35346076.615674645,83073.70867777777,784.2595027777778
randforest,1,120000,20,32,0.0,96215.00900833333,16261.360155555556
randforest,1,40000,10,16,0.0,51506.37499722222,53095487.41820834
randforest,1,50000,10,16,0.0,58832.21555,17002767.775305558
svm,2,90000,1,1,2629157.6870977464,89933.33837499999,708.6465111111112
quickscore,1,90000,80,32,35348210.38378021,83076.90855277778,798.9627722222223
randforest,1,110000,20,8,0.0,79538.5132,17151.253941666666
quickscore,1,120000,30,32,11575884.700010821,110719.04092777778,607.4821444444444
quickscore,1,40000,70,32,15745698.769503808,36925.33407777778,973.7943305555556
quickscore,1,20000,10,8,2721968.925302603,6156.309638888889,5938.895180555556
