branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,10000,40,16,3717596.2234330224,9232.872083333334,1427.6917055555555
quickscore,1,70000,60,16,27763476.30174581,64617.503711111116,854.3247694444444
svm,2,120000,1,1,12585761.177017717,112737.4510122507,632.5555089031338
randforest,1,10000,20,16,156.26287244444444,25116.062719444446,83063492.25086112
quickscore,1,90000,20,8,35385726.11924123,83078.35729444445,698.3093277777778
quickscore,1,150000,70,16,17728261.587786075,121459.9354861111,628.6930722222222
quickscore,1,70000,60,32,27762932.025681574,64617.076616666665,891.0651
quickscore,1,150000,30,8,10748353.73749129,79470.98089722222,2717.5093333333334
quickscore,1,10000,100,8,1255935.4705433554,3079.4856388888893,5948.05435
randforest,1,30000,20,16,0.0,64916.392850000004,38542.845725
quickscore,1,130000,90,16,15037329.444189122,118358.37410833333,660.731763888889
quickscore,1,100000,20,16,3966337.7822131086,92300.334875,648.9171388888889
quickscore,1,50000,80,16,19864192.664049104,46155.988213888886,910.1348333333333
quickscore,1,110000,10,16,7153074.386352658,101534.402225,600.9584083333333
quickscore,1,60000,30,16,23320989.771162342,55386.419916666666,847.6253861111111
quickscore,1,120000,50,32,11562360.014631355,110627.81760555555,654.5499694444444
quickscore,1,130000,20,8,4828896.314678068,39275.10372777778,4464.165883333333
quickscore,1,100000,60,32,3971649.389920849,92309.21956944444,726.6675583333333
quickscore,1,20000,20,8,5460080.293877356,12225.758166666667,3429.411155555556
quickscore,1,130000,10,16,15194183.349394847,119459.42276111111,559.703075
randforest,1,20000,10,32,0.0,55855.63250555556,42585.532575
randforest,1,110000,10,16,0.0,70032.95811111112,19021.996125
randforest,1,30000,10,16,0.0,56020.06446111111,38893.670816666665
quickscore,1,60000,10,16,23321951.813863754,55386.46845833334,801.1814472222222
quickscore,1,70000,80,16,27763010.222100474,64617.00965277778,865.3491666666666
quickscore,1,20000,20,16,8154408.72946775,18463.771474999998,935.9173083333333
quickscore,1,10000,60,16,3718156.1157771307,9232.883211111111,1620.7880944444446
randforest,1,100000,20,32,0.0,94382.3224361111,15904.959183333334
svm,2,100000,1,1,6899399.288986238,99297.54109530813,671.5556913165266
quickscore,1,30000,20,8,2329867.7074111886,5550.814663888888,6013.5323055555555
quickscore,1,150000,80,8,5946247.300397589,41311.383680555555,4422.444266666666
quickscore,1,10000,80,32,3717512.4935453082,9233.055697222222,2001.4837944444444
randforest,1,90000,10,64,0.0,90620.67725,18797.00108611111
quickscore,1,20000,30,8,493.09068918055556,2.4400166666666667,7781.277516666666
quickscore,1,20000,60,32,8155012.778412917,18463.820122222223,1051.990438888889
quickscore,1,130000,60,8,5113070.200544147,39834.85871944445,4748.302216666667
base,2,60000,1,1,25263390.878257237,59997.12994722222,86.06001111111111
svm,1,120000,1,1,10086238.268174462,102977.34692777778,4059.5470277777777
quickscore,1,140000,50,8,17104534.453371394,122810.24446388888,628.8725305555555
quickscore,1,10000,90,16,3717319.7893645084,9233.034902777777,1812.3630166666667
quickscore,1,100000,40,8,1185108.9870310556,30771.433605555554,5150.727988888889
randforest,1,10000,20,64,0.0,44580.735916666665,49381.043180555556
quickscore,1,10000,20,32,3718139.055817636,9232.892433333333,1349.8848166666667
randforest,1,50000,20,64,0.0,78704.05900277778,30797.261766666667
quickscore,1,50000,40,32,19864298.43874553,46155.85922777778,876.0638527777778
randforest,1,130000,10,32,0.0,83368.3185,32745502.689122222
quickscore,1,140000,80,8,4377332.043955714,37906.256175,4895.7100527777775
quickscore,1,150000,90,16,17819707.664270986,121439.63597777777,645.7155222222223
quickscore,1,30000,60,16,11540580.424444614,27694.621297222224,961.874275
randforest,1,130000,20,16,0.0,103797.35252222222,3441868.8782444443
quickscore,1,20000,70,32,8154802.953732714,18463.674169444446,1101.1416805555555
svm,1,50000,1,1,20551755.82610133,47013.956216666666,4760.194463888889
randforest,1,90000,10,8,0.0,73736.92551388888,20743.11905
quickscore,1,90000,70,32,35346289.39267849,83078.54819166666,792.7553333333334
randforest,1,20000,10,8,0.0,52074.84644444445,41231.73581111111
randforest,1,120000,10,32,0.0,75112.59020833333,19035.193230555557
quickscore,1,130000,30,8,5055356.295159412,39845.673683333334,4976.5722166666665
quickscore,1,30000,50,16,11541042.608758228,27694.366011111113,916.3799555555555
quickscore,1,120000,60,32,11552952.215587033,110557.71378333334,661.2187888888889
quickscore,1,80000,10,16,31314195.67114255,73847.5130111111,724.9750888888889
randforest,1,100000,10,8,0.0,72991.01579166666,18701.530058333334
quickscore,1,80000,40,16,31321132.10176572,73847.88430833333,769.7865361111111
quickscore,1,60000,60,32,23321436.16924819,55386.489616666666,939.5895305555556
quickscore,1,10000,60,32,3717907.3223209195,9232.98196111111,1734.375413888889
quickscore,1,90000,80,16,35345878.58006106,83078.49065555556,777.0992444444445
quickscore,1,60000,40,32,23323401.527306482,55386.413108333334,867.6358916666667
quickscore,1,110000,80,8,4746124.715894247,67218.34558055556,2940.874780555556
quickscore,1,10000,70,32,3717843.403544839,9233.151480555556,1765.7131166666666
quickscore,1,30000,20,32,11542739.485192703,27692.921997222224,871.9221638888889
randforest,1,30000,10,64,0.0,59333.542649999996,45995005.38683611
randforest,1,140000,20,8,0.0,103924.1788138889,12478.70696388889
randforest,1,150000,10,32,0.0,85130.24576111112,5761838.035580555
quickscore,1,40000,90,8,10239203.5870872,23746.72463611111,3307.183563888889
quickscore,1,100000,60,16,4031194.8970928877,92310.51173888889,698.9639861111111
quickscore,1,40000,10,32,15741660.872623308,36925.15220833333,845.8841194444444
quickscore,1,140000,100,16,16635872.173721468,120508.39485555555,663.2409805555556
quickscore,1,120000,40,16,11575027.935219044,110716.01386666666,607.2339277777778
quickscore,1,10000,80,8,1253790.886976961,3032.7223083333333,6119.147561111111
quickscore,1,100000,90,16,3971046.75024222,92305.80973333334,739.5810361111112
quickscore,1,110000,20,8,4721563.488815902,67221.98491666667,2938.666138888889
quickscore,1,40000,80,8,13629706.03039984,31835.221722222224,1689.8688694444445
quickscore,1,100000,90,32,3968576.1493138694,92309.06801666667,770.901075
quickscore,1,130000,90,32,14951453.939365182,117855.17499722223,691.71405
quickscore,1,90000,20,32,35343000.227372065,83077.8274388889,693.9076777777778
quickscore,1,40000,100,8,12531158.555106847,28934.255086111112,2227.3461
quickscore,1,130000,40,16,15138644.298061257,119064.25040555556,604.8485916666667
randforest,1,130000,10,8,0.0,75843.09352222222,17603.28265277778
quickscore,1,60000,10,32,23322531.873808827,55386.65708333333,830.7083166666666
quickscore,1,150000,80,16,17677067.72351783,121187.40252777777,635.0045777777777
quickscore,1,100000,10,8,518.4310418722223,2.7898805555555555,7469.056975
quickscore,1,100000,70,8,-1368483.0835505605,25137.514533333335,5156.588158333333
quickscore,1,60000,60,16,23321989.388342634,55386.61238611111,898.9000083333333
quickscore,1,90000,40,16,35344295.60271825,83077.91702222223,715.3936972222222
randforest,1,100000,10,32,0.0,74660.09895,17575.057472222223
randforest,1,70000,20,8,0.0,82014.51305555555,22480.602269444444
quickscore,1,70000,30,32,27760451.703201327,64617.12968611111,816.6560777777778
randforest,1,140000,20,32,0.0,119942.65471111111,10913.669861111111
quickscore,1,30000,90,32,11540691.864467872,27694.42801666667,1119.0932305555555
randforest,1,90000,20,8,0.0,90199.32601388889,18550.695294444446
quickscore,1,90000,10,16,35343725.16715833,83078.72435277778,681.04945
quickscore,1,120000,10,32,11573542.472526923,110711.95659444445,576.6950444444444
quickscore,1,40000,50,32,15752638.096313752,36925.13130833333,915.5989055555556
quickscore,1,90000,50,8,-105630.20372946403,27694.415930555555,5312.452047222222
randforest,1,80000,10,16,0.0,76156.88381944444,10687754.939797223
quickscore,1,10000,50,16,3689794.3626362444,9200.066463888888,1565.0895277777777
randforest,1,80000,20,16,0.0,90934.38176666667,16758.45558611111
quickscore,1,30000,50,8,3288688.884035714,7578.0828833333335,5886.228280555555
quickscore,1,80000,50,16,31318172.317232743,73848.89865,778.8091111111112
quickscore,1,10000,20,64,0.0,11676904.735883333,89.95369166666667
randforest,1,130000,20,32,0.0,112459.67957222222,4457438.959958333
quickscore,1,140000,50,16,16864868.720089793,121677.69495833333,604.8080722222222
quickscore,1,120000,10,8,7855177.391414161,73806.84276111111,2829.2680305555555
randforest,1,140000,20,16,0.0,108144.85732777778,11845.471241666666
quickscore,1,100000,80,32,3965535.3967707246,92302.19453611111,746.4880138888889
randforest,1,20000,20,8,0.0,60492.86128888889,39898.59867777778
quickscore,1,60000,70,8,7755638.994259175,18200.80296388889,5386.446983333333
quickscore,1,100000,80,16,3971783.628512712,92309.49204444444,715.8631388888889
quickscore,1,20000,80,8,2725432.1372447526,6156.260700000001,5331.7243194444445
quickscore,1,30000,10,16,11542391.129366573,27694.348477777778,816.8473833333334
quickscore,1,130000,80,32,14991385.835796779,118120.30671388889,666.3223722222222
svm,2,30000,1,1,12508282.5097905,30002.942444444445,963.0830111111111
quickscore,1,50000,100,32,19864020.749288097,46156.02526944444,1030.2409527777777
quickscore,1,110000,70,32,7148034.613417598,101521.94485833333,721.9674166666666
randforest,1,150000,20,8,0.0,83374.81548333334,15748.47778888889
quickscore,1,80000,30,16,31318535.92135258,73845.76668055555,760.7393138888889
quickscore,1,50000,60,32,19864893.090306196,46155.84015,921.1943027777778
quickscore,1,120000,20,32,11457051.963364728,110713.0342706816,603.4353188842204
quickscore,1,60000,50,32,23321332.115052015,55386.550647222226,912.299125
quickscore,1,110000,100,16,7146639.6763738645,101503.89912222222,727.8659055555555
randforest,1,110000,10,64,0.0,79625.993875,16675.695097222222
svm,1,40000,1,1,16335754.717582794,37853.50208611111,5836.494308333334
quickscore,1,120000,10,16,11576507.561385853,110721.12301944445,581.2368694444444
quickscore,1,10000,90,32,3717213.0123873223,9232.904436111112,2030.1340611111111
quickscore,1,80000,100,8,20182582.893465113,47473.17426388889,3062.174572222222
quickscore,1,40000,60,16,15746919.659642592,36925.39135277778,918.2053027777778
quickscore,1,70000,20,16,27762835.684058417,64617.12463611111,769.2990277777777
randforest,1,20000,20,64,0.0,75695.27729444444,37687.92149166667
quickscore,1,100000,10,32,3970133.7039290154,92308.59043611112,643.3120638888888
randforest,1,60000,10,8,0.0,59965.22553333333,32469.964347222223
quickscore,1,10000,50,32,3706047.8488324806,9215.416705555555,1662.0910472222222
quickscore,1,10000,100,32,3718101.1056238,9233.206699999999,2151.2194638888886
quickscore,1,140000,40,8,548.8712183055555,3.142388888888889,6915.715933333333
quickscore,1,110000,40,8,2164493.0262776436,61555.14578888889,3237.7260055555557
randforest,1,100000,10,64,0.0,80756.54223333334,8352674.625219445
quickscore,1,110000,40,32,7149154.621383745,101540.23991111112,664.4235194444444
quickscore,1,80000,20,32,31321506.096739642,73846.91136388888,732.9701861111112
base,2,80000,1,1,33927320.33619087,79992.72389722223,78.16388333333333
quickscore,1,90000,60,8,-835873.3185495116,25771.631725000003,5218.968322222222
quickscore,1,110000,70,16,7157310.73547404,101540.89904999999,688.809225
quickscore,1,60000,10,8,22978049.088070877,54092.32012777778,946.94555
quickscore,1,130000,100,32,14879364.971246114,117595.55757777778,714.6622083333333
quickscore,1,80000,70,32,31318282.48019012,73847.41608888889,838.6529388888889
quickscore,1,30000,30,32,11545463.892785115,27694.48513611111,916.6234527777779
quickscore,1,60000,40,16,23321029.695854425,55386.63841388889,849.1229638888889
quickscore,1,120000,80,16,11559035.358963761,110581.5567,662.6579
base,2,50000,1,1,21514272.498869557,49996.718619444444,85.95306111111111
quickscore,1,120000,30,8,-2270824.701731222,22274.935988888887,5732.047394444445
quickscore,1,10000,10,32,3718359.0145081305,9233.234216666666,1300.1762972222223
quickscore,1,50000,90,8,13237383.2790423,30771.622841666664,3162.8142666666668
randforest,1,90000,10,16,0.0,77105.46586666667,7903375.126136112
base,2,20000,1,1,8833509.262137266,20001.461094444443,109.86131666666667
quickscore,1,120000,90,16,11548056.875662506,110465.03344166666,670.7408444444444
quickscore,1,100000,50,32,4012365.6472051675,92307.99493055556,713.5922583333333
quickscore,1,100000,20,8,3379603.084996936,91426.77164444444,690.9813277777778
quickscore,1,50000,20,16,19864290.94952671,46155.876808333334,808.5678333333333
quickscore,1,50000,20,8,13179675.091313466,30769.29534722222,3109.901280555556
quickscore,1,110000,100,32,7136313.079253447,101366.36499166666,779.3110583333333
quickscore,1,140000,10,32,16848094.124323808,122049.56169722222,557.6150444444444
quickscore,1,140000,30,16,16795878.840009984,121640.79965277777,590.0989527777778
quickscore,1,130000,80,8,8589622.293031378,76325.031275,2867.5696527777777
quickscore,1,110000,80,16,7150001.797058678,101540.24500555555,708.1539611111111
quickscore,1,60000,30,8,15184681.732588239,35668.06897222222,3334.4473194444445
svm,1,20000,1,1,8834620.536075756,20003.063680555555,5999.265813888889
quickscore,1,20000,50,32,8155551.436162408,18463.578991666665,1026.4294
quickscore,1,100000,30,32,3971118.59512733,92308.66311388889,680.219875
quickscore,1,40000,100,16,15747179.782416372,36925.029525,991.1045194444445
quickscore,1,30000,70,8,8891356.3929669,20641.117466666667,2699.914977777778
quickscore,1,90000,10,8,-1004305.7211046503,53044.20483055556,2934.5061333333333
quickscore,1,10000,70,16,3717555.1893589473,9232.994172222223,1769.6183833333334
randforest,1,60000,10,32,0.0,64953.70593055555,15309762.645599999
quickscore,1,20000,40,32,8154826.791715539,18463.696827777778,1002.3167666666667
quickscore,1,80000,40,8,10438408.870260127,24617.64895277778,5002.389013888889
quickscore,1,90000,100,8,511.61361234444445,2.7315833333333335,7316.423616666667
quickscore,1,130000,10,32,15229652.715944055,119379.49505,550.3815333333333
quickscore,1,30000,100,16,11544762.635699222,27694.350283333333,1060.8746888888888
quickscore,1,20000,30,16,8155166.564584814,18463.59925,992.3068388888889
quickscore,1,10000,80,16,3717363.4121718085,9232.855741666666,1751.5397333333333
randforest,1,40000,20,16,0.0,65470.31315833334,8438639.691966666
randforest,1,120000,20,64,0.0,102522.65358611112,11339710.407352777
quickscore,1,10000,60,64,0.0,16443090.016291667,69.63130833333334
quickscore,1,140000,40,32,16647384.107503058,121100.145425,598.7311666666667
quickscore,1,130000,40,32,15135539.21264217,119013.24165555555,598.8429111111111
randforest,1,10000,10,16,4389.181338513889,22263.282725,47303983.05621389
randforest,1,100000,20,64,0.0,111274.01489722222,16262.43175
quickscore,1,80000,60,16,31320613.86566683,73847.80784444445,802.6982861111111
randforest,1,100000,10,16,0.0,70935.91815,18639.1922
quickscore,1,60000,50,16,23321518.68462212,55386.59116111111,877.3871944444444
quickscore,1,100000,40,16,3970798.4676641654,92309.08176666667,673.6167277777778
quickscore,1,150000,30,16,16349902.680202035,118495.42850277778,592.08315
quickscore,1,100000,60,8,1316093.7643219032,30771.479391666668,4831.962269444444
quickscore,1,30000,90,16,11541179.830459753,27694.320591666667,1035.2286583333332
randforest,1,40000,10,8,0.0,51785.583877777775,38065.165969444446
base,2,30000,1,1,12502370.251086034,30000.41697222222,94.51030833333334
quickscore,1,140000,70,8,5767849.673463779,41012.32857777778,4457.677394444445
quickscore,1,70000,80,32,27761216.760945685,64617.269972222224,912.1610277777778
svm,1,90000,1,1,35018965.9494814,79531.161325,4661.845327777778
quickscore,1,120000,100,16,11533580.17815692,110384.66171388888,677.0430833333334
quickscore,1,60000,40,8,6382313.264471755,15079.929444444446,5448.266952777778
randforest,1,140000,10,64,0.0,99303.4327,13102.763977777777
quickscore,1,100000,80,8,1316171.3967240222,30771.410686111114,4870.626519444444
quickscore,1,150000,100,16,15847856.702667436,116526.47418611111,678.3310555555555
quickscore,1,90000,60,16,35347094.85307735,83078.6123638889,754.2021722222222
quickscore,1,70000,100,8,16859721.37423244,39144.81133888889,3337.714794444444
quickscore,1,150000,30,32,16499114.732612655,118715.098875,602.3933138888889
quickscore,1,100000,20,32,4070674.55876969,92300.88971666667,654.1355694444444
quickscore,1,40000,90,16,15757756.575472878,36925.19904166667,987.2488722222222
randforest,1,150000,20,32,0.0,96137.43525277778,14483.648519444445
quickscore,1,140000,90,16,16832955.86713051,121000.95783055556,655.3106055555555
quickscore,1,130000,10,8,6826707.738640288,44326.18778611111,3986.723133333333
quickscore,1,90000,60,32,35346141.759684,83078.65006111111,786.1105194444444
randforest,1,80000,10,8,0.0,68713.05575555556,9248538.812861111
quickscore,1,80000,50,32,31322457.83593686,73847.51122777778,801.7582277777778
quickscore,1,150000,90,8,3314731.7747939685,63190.201558333334,3604.2753666666667
quickscore,1,100000,30,8,307383.3537414172,28620.84976111111,5136.183166666667
quickscore,1,50000,70,32,19863375.753440615,46155.96549166666,927.8906916666666
quickscore,1,80000,50,8,7125788.619688487,17162.842858333333,5715.787747222223
quickscore,1,100000,40,32,3970913.928413339,92307.78031944444,692.6489916666667
quickscore,1,110000,80,32,7146908.167105242,101479.91366666667,733.749411111111
quickscore,1,10000,10,64,0.0,10665966.111891666,96.10490833333333
quickscore,1,50000,30,8,12995218.855409121,30548.591486111112,3189.220861111111
quickscore,1,10000,60,8,1254474.6353749945,3079.4738888888887,4972.3697555555555
quickscore,1,80000,30,32,31321255.684785474,73847.63929444445,769.8842388888888
quickscore,1,80000,100,16,31323345.72059638,73847.55867222222,853.5919194444444
quickscore,1,90000,40,32,35344135.407007776,83078.29770833334,728.2627916666667
quickscore,1,140000,50,32,16624700.723193899,120820.7697638889,631.4417805555556
quickscore,1,120000,80,32,11526349.00153542,110327.58845,688.9194138888889
quickscore,1,20000,60,16,8156996.971861992,18463.9072,1021.5745694444445
quickscore,1,130000,50,16,15143550.666277306,119054.88954166666,606.9764749999999
quickscore,1,150000,100,8,579.0337184638888,3.7060666666666666,5747.333380555556
randforest,1,90000,10,32,0.0,85646.99225833334,19693.922058333334
quickscore,1,10000,40,64,0.0,14560322.656725,75.94548333333333
randforest,1,20000,10,16,0.0,53166.528816666665,24109573.862230554
quickscore,1,40000,60,32,15739188.485678408,36925.18089166666,955.4647083333333
base,2,110000,1,1,10760096.590964295,109970.56326666666,68.93498888888888
